ALT,Score
Oberspreewald-Lausitz,58.3
Odenwaldkreis,27.83
Oder-Spree,48.1
Offenbach,51.65
Offenbach am Main,54.54
Oldenburg,49.45
Oldenburg (Kreisfreie Stadt),75.1
Olpe,57.76
Ortenaukreis,35.41
Osnabrück (Kreisfreie Stadt),68.37
Osnabrück,50.68
Ostalbkreis,75.36
Ostallgäu,53.39
Osterholz,70.5
Osterode am Harz,57.73
Ostholstein,89.13
Ostprignitz-Ruppin,60.19
Paderborn,48.32
Passau,60.73
Passau (Kreisfreie Stadt),80.71
Peine,44.4
Pfaffenhofen an der Ilm,63.61
Pforzheim,73.55
Pinneberg,95.82
Pirmasens,61.45
Plön,83.26
Potsdam,67.99
Potsdam-Mittelmark,46.48
Prignitz,57.26
Rastatt,56.62
Ravensburg,63.55
Recklinghausen,44.48
Regen,56.36
Regensburg,35.98
Regensburg (Kreisfreie Stadt),71.92
Region Hannover,66.84
Regionalverband Saarbrücken,78.52
Rems-Murr-Kreis,69.3
Remscheid,15.29
Rendsburg-Eckernförde,82.85
Reutlingen,82.08
Rhein-Erft-Kreis,44.56
Rhein-Hunsrück-Kreis,66.15
Rhein-Kreis Neuss,32.26
Rhein-Lahn-Kreis,70.04
Rhein-Neckar-Kreis,29.9
Rhein-Pfalz-Kreis,25.86
Rhein-Sieg-Kreis,42.18
Rheingau-Taunus-Kreis,41.39
Rheinisch-Bergischer Kreis,30.32
Rhön-Grabfeld,10.78
Rosenheim,66.77
Rosenheim (Kreisfreie Stadt),77.85
Rostock,24.39
Rostock (Kreisfreie Stadt),33.14
Rotenburg (Wümme),64.18
Roth,79.15
Rottal-Inn,62.66
Rottweil,65.99
Saale-Holzland-Kreis,59.13
Saale-Orla-Kreis,56.63
Saalekreis,37.61
Saalfeld-Rudolstadt,56.65
Saarlouis,76.93
Saarpfalz-Kreis,75.56
Sächsische Schweiz-Osterzgebirge,63.66
Salzgitter,39.11
Salzlandkreis,37.1
Schaumburg,50.09
Schleswig-Flensburg,80.04
Schmalkalden-Meiningen,49.05
Schwabach,81.74
Schwäbisch Hall,54.22
Schwalm-Eder-Kreis,52.05
Schwandorf,38.62
Schwarzwald-Baar-Kreis,67.87
Schweinfurt,10.34
Schweinfurt (Kreisfreie Stadt),16.28
Schwerin,29.62
Segeberg,83.33
Siegen-Wittgenstein,59.08
Sigmaringen,47.81
Soest,60.73
Solingen,19.55
Sömmerda,46.67
Sonneberg,54.59
Speyer,34.86
Spree-Neiße,50.55
St. Wendel,73.23
Stade,76.82
Städteregion Aachen,63.16
Starnberg,55.98
Steinburg,68.52
Steinfurt,36.61
Stendal,56.73
Stormarn,91
Straubing,67.65
Straubing-Bogen,45
Stuttgart,52.12
Südliche Weinstraße,27
Südwestpfalz,65.34
Suhl,49.13
Teltow-Fläming,47.58
Tirschenreuth,27.59
Traunstein,70.74
Trier,30.43
Trier-Saarburg,37.25
Tübingen,87.97
Tuttlingen,70.97
Uckermark,60.61
Uelzen,68.24
Ulm,75.12
Unna,57.16
Unstrut-Hainich-Kreis,49.22
Unterallgäu,55.53
Vechta,36.77
Verden,75.14
Viersen,22.98
Vogelsbergkreis,64.29
Vogtlandkreis,50.31
Vorpommern-Greifswald,44.29
Vorpommern-Rügen,49.51
Vulkaneifel,20.44
Würzburg (Kreisfreie Stadt),27.06
Waldeck-Frankenberg,50.83
Waldshut,56.73
Warendorf,47.16
Wartburgkreis,49.05
Weiden in der Oberpfalz,40.84
Weilheim-Schongau,70.55
Weimar,71.66
Weimarer Land,62.88
Weißenburg-Gunzenhausen,71.1
Werra-Meißner-Kreis,46.58
Wesel,20.77
Wesermarsch,54.22
Westerwaldkreis,69.92
Wetteraukreis,87.49
Wiesbaden,53.27
Wilhelmshaven,49.92
Wittenberg,55.59
Wittmund,55.82
Wolfenbüttel,45.25
Wolfsburg,72.11
Worms,24.38
Wunsiedel im Fichtelgebirge,60.3
Wuppertal,17.45
Würzburg,24.45
Zollernalbkreis,67.67
Zweibrücken,65.15
Zwickau,55.07
